COUNT,FOR_TEN,FOR_CATEGO,STATE,FOR_BURNS,FOR_BURN_T
294,PRIV,Native forest,Qld,2,Planned and Unplanned burns
17,PRIV,Native forest,Qld,1,Planned burns only
72,PRIV,Native forest,Qld,3,Unplanned burns only
43,PRIV,Native forest,Qld,3,Planned and Unplanned burns
358,PRIV,Native forest,Qld,2,Unplanned burns only
12,PRIV,Native forest,Qld,1,Unplanned burns only
1158,PRIV,Native forest,Qld,3,Planned and Unplanned burns
12,PRIV,Native forest,Qld,3,Unplanned burns only
21,PRIV,Native forest,Qld,3,Planned and Unplanned burns
202,PRIV,Native forest,Qld,3,Planned and Unplanned burns
1,PRIV,Native forest,Qld,2,Unplanned burns only
68,PRIV,Native forest,Qld,1,Unplanned burns only
15,PRIV,Native forest,Qld,1,Unplanned burns only
237,PRIV,Native forest,Qld,2,Planned and Unplanned burns
115,PRIV,Native forest,Qld,2,Planned and Unplanned burns
1,PRIV,Native forest,Qld,3,Planned and Unplanned burns
26,PRIV,Native forest,Qld,1,Unplanned burns only
1,PRIV,Native forest,Qld,3,Planned and Unplanned burns
727,PRIV,Native forest,Qld,2,Planned and Unplanned burns
6,PRIV,Native forest,Qld,2,Unplanned burns only
2,PRIV,Native forest,Qld,2,Unplanned burns only
1,PRIV,Native forest,Qld,2,Unplanned burns only
4062,PRIV,Native forest,Qld,1,Planned burns only
1,PRIV,Native forest,Qld,1,Planned burns only
63,PRIV,Native forest,Qld,0,Forest not burnt
5,PRIV,Native forest,Qld,1,Unplanned burns only
127,PRIV,Native forest,Qld,1,Unplanned burns only
29,PRIV,Native forest,Qld,1,Unplanned burns only
1,PRIV,Native forest,Qld,3,Unplanned burns only
160,PRIV,Native forest,Qld,1,Planned burns only
549,PRIV,Native forest,Qld,0,Forest not burnt
5,PRIV,Native forest,Qld,2,Unplanned burns only
3,PRIV,Native forest,Qld,2,Unplanned burns only
6,PRIV,Native forest,Qld,1,Unplanned burns only
6240,PRIV,Native forest,Qld,1,Planned burns only
1444,PRIV,Native forest,Qld,1,Unplanned burns only
2002,PRIV,Native forest,Qld,1,Unplanned burns only
5,PRIV,Native forest,Qld,1,Unplanned burns only
9,PRIV,Native forest,Qld,1,Unplanned burns only
20,PRIV,Native forest,Qld,1,Unplanned burns only
6,PRIV,Native forest,Qld,2,Unplanned burns only
26,PRIV,Native forest,Qld,3,Unplanned burns only
2,PRIV,Native forest,Qld,3,Planned and Unplanned burns
10029,PRIV,Native forest,Qld,1,Planned burns only
449,PRIV,Native forest,Qld,1,Unplanned burns only
140,PRIV,Native forest,Qld,2,Planned and Unplanned burns
19936,PRIV,Native forest,Qld,0,Forest not burnt
974,PRIV,Native forest,Qld,2,Unplanned burns only
31,PRIV,Native forest,Qld,2,Unplanned burns only
4,PRIV,Native forest,Qld,2,Planned and Unplanned burns
146,PRIV,Native forest,Qld,1,Unplanned burns only
451,PRIV,Native forest,Qld,2,Planned and Unplanned burns
795,PRIV,Native forest,Qld,1,Unplanned burns only
11,PRIV,Native forest,Qld,2,Planned and Unplanned burns
50,PRIV,Native forest,Qld,1,Planned burns only
7,PRIV,Native forest,Qld,1,Unplanned burns only
2,PRIV,Native forest,Qld,2,Unplanned burns only
2647,PRIV,Native forest,Qld,2,Unplanned burns only
2,PRIV,Native forest,Qld,2,Planned and Unplanned burns
26,PRIV,Native forest,Qld,1,Planned burns only
1462,PRIV,Native forest,Qld,2,Planned and Unplanned burns
21,PRIV,Native forest,Qld,1,Unplanned burns only
4554,PRIV,Native forest,Qld,1,Unplanned burns only
1,PRIV,Native forest,Qld,1,Planned burns only
73,PRIV,Native forest,Qld,1,Planned burns only
2380,PRIV,Native forest,Qld,1,Unplanned burns only
4,PRIV,Native forest,Qld,2,Unplanned burns only
1,PRIV,Native forest,Qld,2,Planned and Unplanned burns
35,PRIV,Native forest,Qld,0,Forest not burnt
2911, ,Non-forest,Qld,-9, 
13,PRIV,Native forest,Qld,2,Unplanned burns only
810,PRIV,Native forest,Qld,1,Unplanned burns only
3433,PRIV,Native forest,Qld,1,Unplanned burns only
57,PRIV,Native forest,Qld,0,Forest not burnt
57,PRIV,Native forest,Qld,0,Forest not burnt
3809,PRIV,Native forest,Qld,1,Unplanned burns only
83,PRIV,Native forest,Qld,1,Unplanned burns only
22,PRIV,Native forest,Qld,1,Planned burns only
7,PRIV,Native forest,Qld,2,Unplanned burns only
20,PRIV,Native forest,Qld,2,Unplanned burns only
45,PRIV,Native forest,Qld,2,Unplanned burns only
4,PRIV,Native forest,Qld,3,Unplanned burns only
1,PRIV,Native forest,Qld,3,Unplanned burns only
3,PRIV,Native forest,Qld,2,Unplanned burns only
19,PRIV,Native forest,Qld,1,Unplanned burns only
17,PRIV,Native forest,Qld,2,Unplanned burns only
9,PRIV,Native forest,Qld,2,Unplanned burns only
1,PRIV,Native forest,Qld,2,Unplanned burns only
5236,PRIV,Native forest,Qld,1,Unplanned burns only
108,PRIV,Native forest,Qld,1,Unplanned burns only
4,PRIV,Native forest,Qld,3,Unplanned burns only
9,PRIV,Native forest,Qld,1,Unplanned burns only
10224,PRIV,Native forest,Qld,1,Unplanned burns only
3474,PRIV,Native forest,Qld,2,Unplanned burns only
8,PRIV,Native forest,Qld,2,Unplanned burns only
3,PRIV,Native forest,Qld,2,Unplanned burns only
5,PRIV,Native forest,Qld,4,Unplanned burns only
4,PRIV,Native forest,Qld,3,Unplanned burns only
504,PRIV,Native forest,Qld,1,Planned burns only
1781,PRIV,Native forest,Qld,1,Unplanned burns only
244,PRIV,Native forest,Qld,2,Planned and Unplanned burns
5,PRIV,Native forest,Qld,2,Planned and Unplanned burns
14,PRIV,Native forest,Qld,2,Unplanned burns only
600,PRIV,Native forest,Qld,0,Forest not burnt
5,PRIV,Native forest,Qld,3,Planned and Unplanned burns
3,PRIV,Native forest,Qld,4,Planned and Unplanned burns
9,PRIV,Native forest,Qld,3,Unplanned burns only
336,PRIV,Native forest,Qld,1,Unplanned burns only
8,PRIV,Native forest,Qld,1,Unplanned burns only
1,PRIV,Native forest,Qld,3,Unplanned burns only
166,PRIV,Native forest,Qld,1,Unplanned burns only
15,PRIV,Native forest,Qld,2,Unplanned burns only
1576,PRIV,Native forest,Qld,1,Unplanned burns only
98,PRIV,Native forest,Qld,1,Unplanned burns only
1,PRIV,Native forest,Qld,1,Unplanned burns only
182,PRIV,Native forest,Qld,2,Unplanned burns only
26,PRIV,Native forest,Qld,2,Unplanned burns only
2,PRIV,Native forest,Qld,3,Planned and Unplanned burns
14,PRIV,Native forest,Qld,3,Unplanned burns only
5,PRIV,Native forest,Qld,1,Unplanned burns only
3,PRIV,Native forest,Qld,2,Unplanned burns only
3969,PRIV,Native forest,Qld,1,Unplanned burns only
7231,OCL,Native forest,Qld,0,Forest not burnt
82,PRIV,Native forest,Qld,2,Unplanned burns only
1835,PRIV,Native forest,Qld,1,Planned burns only
208,PRIV,Native forest,Qld,2,Planned and Unplanned burns
34520,OCL,Native forest,Qld,0,Forest not burnt
2709,PRIV,Native forest,Qld,1,Unplanned burns only
4792,OCL,Native forest,Qld,0,Forest not burnt
10,PRIV,Native forest,Qld,3,Unplanned burns only
222,PRIV,Native forest,Qld,2,Unplanned burns only
131,PRIV,Native forest,Qld,1,Unplanned burns only
2624,PRIV,Native forest,Qld,1,Unplanned burns only
2390,PRIV,Native forest,Qld,1,Planned burns only
1640,PRIV,Native forest,Qld,2,Unplanned burns only
5,PRIV,Native forest,Qld,1,Planned burns only
81,PRIV,Native forest,Qld,3,Unplanned burns only
3,PRIV,Native forest,Qld,1,Unplanned burns only
978,PRIV,Native forest,Qld,3,Planned and Unplanned burns
40,PRIV,Native forest,Qld,4,Planned and Unplanned burns
3,PRIV,Native forest,Qld,1,Unplanned burns only
1506,PRIV,Native forest,Qld,2,Planned and Unplanned burns
4247,PRIV,Native forest,Qld,1,Unplanned burns only
4,PRIV,Native forest,Qld,2,Unplanned burns only
310,PRIV,Native forest,Qld,4,Unplanned burns only
250,PRIV,Native forest,Qld,3,Unplanned burns only
563,PRIV,Native forest,Qld,2,Planned and Unplanned burns
8,PRIV,Native forest,Qld,3,Unplanned burns only
421,OCL,Native forest,Qld,0,Forest not burnt
3,PRIV,Native forest,Qld,2,Unplanned burns only
1054,PRIV,Native forest,Qld,2,Unplanned burns only
1,PRIV,Native forest,Qld,1,Unplanned burns only
2,PRIV,Native forest,Qld,2,Unplanned burns only
61,PRIV,Native forest,Qld,2,Unplanned burns only
1,PRIV,Native forest,Qld,2,Unplanned burns only
456,OCL,Native forest,Qld,0,Forest not burnt
9438,OCL,Native forest,Qld,0,Forest not burnt
19,PRIV,Native forest,Qld,2,Unplanned burns only
193,PRIV,Native forest,Qld,1,Unplanned burns only
73603450, ,Non-forest,Qld,-9, 
335,LEASE,Native forest,Qld,0,Forest not burnt
4,LEASE,Native forest,Qld,0,Forest not burnt
7977948,LEASE,Native forest,Qld,0,Forest not burnt
12040,LEASE,Native forest,Qld,0,Forest not burnt
183, ,Non-forest, ,-9, 
146811,LEASE,Native forest,Qld,0,Forest not burnt
203083,LEASE,Native forest,Qld,0,Forest not burnt
64705,LEASE,Native forest,Qld,0,Forest not burnt
899,LEASE,Native forest,Qld,0,Forest not burnt
